type,indicator,classification,notes
domain,assistance-support.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelirenouvellement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,account-cvitale.co,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,account-cvitale-info.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,societegenerale-secur.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,notre-cartevitale.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-assurance.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,gestion-macarte.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,client-renouv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-info-vitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,supportsrenouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,shoppingtoday.today,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,acces-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,societegeneral-authentification.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,notre-carte-vitale.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chrono-suivit.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-info.eu,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,summary-customers-service.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,rubrique-espaceclient.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-webapps.gq,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-support-maladie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-maladies.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
